group,date,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn
E,2013-05,0.2512,0.1325,0.1137
HR,2013-05,0.276,0.1575,0.1185
A,2013-06,0.1061,0.0349,0.0712
AA,2013-06,0.0684,0.0174,0.051
B,2013-06,0.1404,0.0524,0.0878
C,2013-06,0.18,0.0749,0.1004
D,2013-06,0.2148,0.1025,0.1079
E,2013-06,0.2512,0.1325,0.1137
HR,2013-06,0.276,0.1575,0.1185
A,2013-07,0.1061,0.0349,0.0712
AA,2013-07,0.0684,0.0174,0.051
B,2013-07,0.1404,0.0499,0.0878
C,2013-07,0.18,0.0749,0.1004
D,2013-07,0.2148,0.1025,0.1065
E,2013-07,0.2512,0.1325,0.1137
HR,2013-07,0.276,0.1575,0.1185
A,2013-08,0.1061,0.0349,0.0712
AA,2013-08,0.0684,0.0174,0.051
B,2013-08,0.14008,0.0524,0.0876
C,2013-08,0.1783,0.0749,0.1003
D,2013-08,0.2126,0.1025,0.1065
E,2013-08,0.2512,0.1325,0.1137
HR,2013-08,0.276,0.1575,0.1185
A,2013-09,0.10208,0.0324,0.06968
AA,2013-09,0.06537,0.0149,0.05047
B,2013-09,0.13449,0.0524,0.08209
C,2013-09,0.16468,0.0749,0.08728
D,2013-09,0.20262,0.1025,0.09512
E,2013-09,0.23673,0.1325,0.10423
HR,2013-09,0.27598,0.1625,0.11348
A,2013-10,0.10208,0.0324,0.06968
AA,2013-10,0.06537,0.0149,0.05047
B,2013-10,0.13144,0.0499,0.08154
C,2013-10,0.16214,0.0749,0.08724
D,2013-10,0.1952,0.1025,0.0927
E,2013-10,0.23673,0.1325,0.10423
HR,2013-10,0.27598,0.1625,0.11348
A,2013-11,0.09989,0.0324,0.06663
AA,2013-11,0.06537,0.0149,0.04929
B,2013-11,0.12898,0.0524,0.07689
C,2013-11,0.15867,0.0749,0.08524
D,2013-11,0.1952,0.1025,0.09167
E,2013-11,0.24998,0.1425,0.10423
HR,2013-11,0.26913,0.1625,0.11116
A,2013-12,0.09628,0.0324,0.06388
AA,2013-12,0.06044,0.0149,0.04554
B,2013-12,0.12334,0.0499,0.07344
C,2013-12,0.15512,0.0749,0.08022
D,2013-12,0.18828,0.1025,0.08578
E,2013-12,0.23608,0.1375,0.09858
HR,2013-12,0.26913,0.1625,0.10663
A,2014-01,0.09628,0.0324,0.06388
AA,2014-01,0.06546,0.0174,0.04806
B,2014-01,0.12334,0.0499,0.07344
C,2014-01,0.15512,0.0749,0.08022
D,2014-01,0.19571,0.1075,0.08578
E,2014-01,0.23608,0.1375,0.09858
HR,2014-01,0.25681,0.1525,0.10431
A,2014-02,0.09628,0.0324,0.06388
AA,2014-02,0.06546,0.0174,0.04806
B,2014-02,0.12334,0.0499,0.07192
C,2014-02,0.15512,0.0749,0.07824
D,2014-02,0.18828,0.1025,0.08578
E,2014-02,0.23608,0.1375,0.098
HR,2014-02,0.26913,0.1625,0.10663
A,2014-03,0.09531,0.0324,0.06291
AA,2014-03,0.06546,0.0174,0.04806
B,2014-03,0.11858,0.0499,0.06868
C,2014-03,0.15044,0.0749,0.07554
D,2014-03,0.18367,0.1025,0.08117
E,2014-03,0.23856,0.1425,0.09606
HR,2014-03,0.25225,0.1525,0.09975
